arrival,elevation
Thurmont,158
Walkersville,94
Woodsboro,121
Accident,727
Aberdeen,29
Havre de Grace,17
Ellicott City,55
Barnesville,169
Brookeville,133
Brookmont,37
Clarksburg,202
Colesville,133
Laytonsville,187
Montgomery Village,113
Poolesville,126
Somerset,90
Washington Grove,155
Adelphi,52
Beltsville,41
Berwyn Heights,34
Bladensburg,16
Bowie,47
Cheverly,291
Clinton,76
Colmar Manor,9
Cottage City,9
District Heights,81
Fairmount Heights,30
Forest Heights,49
Fort Washington,32
Hyattsville,32
Kettering,42
Landover Hills,50
Langley Park,46
Laurel,50
Morningside,80
New Carrollton,24
Temple Hills,82
University Park,22
Upper Marlboro,7
Smith Island,0
Salisbury,8
Ocean City,2
Forestdale,50
Mashpee,17
Dalton,365
North Adams,215
Otis,372
Edgartown,5
Groveland,15
Peabody,5
Salem,8
North Amherst,57
Concord,43
South Lake Tahoe,1901
Lowell,31
Natick,55
Watertown,11
Westford,124
Gardner,324
Munising,187
Alpena,180
Alpena Township,191
Bellaire,191
Central Lake,197
Elk Rapids,182
Ellsworth,201
Mancelona,343
Au Gres,179
Omer,186
Standish,190
Barry Township,284
Auburn,188
Bangor Township,178
Bay City,178
Essexville,178
Hampton Township,178
Monitor Township,183
Pinconning,183
Portsmouth Township,183
Williams Township,193
Hacienda Heights,138
La Crescenta-Montrose,469
Lake Los Angeles,811
Watervliet Township,200
Bronson,278
Coldwater,294
Quincy,310
Sherwood,268
Charlevoix,181
Rolling Hills Estates,143
Mackinaw Township,211
Farwell,283
Harrison,355
Bath Township,261
Westlake Village,268
DeWitt Township,253
Grayling,347
Grayling Township,351
Breitung Township,354
Iron Mountain,347
Kingsford,335
Norway,290
Petoskey,202
Atlas Township,258
Burton,235
Clayton Township,233
Clio,219
Davison,242
Davison Township,247
Fenton,275
Fenton Township,265
Flint Township,241
Flushing,213
Flushing Township,213
Forest Township,369
Gaines,261
Gaines Township,247
Genesee Township,224
Goodrich,266
Grand Blanc,255
Grand Blanc Township,258
Linden,266
Montrose,205
Montrose Township,196
Mount Morris Township,232
Mundy Township,253
Richfield Township,237
Swartz Creek,235
Thetford Township,238
Beaverton,219
Gladwin,239
Twentynine Palms,606
Bessemer,434
Ironwood,459
Ironwood Township,349
Wakefield,469
Blair Township,272
East Bay Township,280
Fife Lake,323
Garfield Township,214
Green Lake Township,256
Kingsley,295
Long Lake Township,268
Breckenridge,224
Allen,328
Camden,311
Hillsdale,341
Jonesville,328
Litchfield,312
Montgomery,320
North Adams,363
Reading,363
Waldron,274
Portage Township,273
Lansing Township,265
Meridian Township,259
Au Sable Township,186
East Tawas,178
Oscoda Township,235
Tawas City,180
Shepherd,236
Blackman Township,294
Brooklyn,303
Grass Lake,302
Grass Lake Township,311
Sandstone Township,302
Spring Arbor Township,305
Springport,305
Augusta,245
Climax,294
Comstock Township,247
Cooper Township,259
Galesburg,241
Kalamazoo Township,235
Oshtemo Township,288
Parchment,236
Richland,283
Schoolcraft,268
Texas Township,277
Vicksburg,260
Kalkaska,315
Caledonia,247
Caledonia Township,219
Cascade Township,202
East Grand Rapids,227
Grand Rapids Township,246
Kent City,247
Lowell Township,242
Sand Lake,279
Sparta,243
Ahmeek,265
Suttons Bay,182
Suttons Bay Township,183
Addison,325
Adrian,240
Adrian Township,265
Blissfield,210
Britton,213
Clayton,273
Clinton,255
Deerfield,205
Hudson,279
Madison Township,238
Morenci,233
Onsted,308
Raisin Township,223
Brighton,282
Brighton Township,288
Fowlerville,275
Genoa Township,307
Green Oak Township,270
Hamburg Township,260
Howell,285
Howell Township,276
Putnam Township,277
Newberry,235
Mackinac Island,181
St. Ignace,179
Center Line,190
Chesterfield Township,180
Clinton Charter Township,267
Eastpointe,187
Fraser,186
Harrison Township,176
Macomb Township,184
New Baltimore,178
Ray Township,198
Shelby Charter Township,207
Sterling Heights,187
Utica,198
Manistee,202
Chocolay Township,199
Ishpeming,429
Marquette Township,293
Negaunee,418
Ludington,180
Pere Marquette Township,178
Scottville,211
Barryton,299
Powers,267
Coleman,231
Larkin Township,208
Midland Township,181
Sanford,192
Lake City,381
McBain,377
Berlin Township,179
Carleton,188
Dundee,203
Estral Beach,174
Luna Pier,175
Maybee,194
Monroe,182
Monroe Township,182
Petersburg,206
South Rockwood,179
Muskegon,191
Auburn Hills,293
Berkley,209
Beverly Hills,222
Bingham Farms,217
Birmingham,237
Bloomfield Hills,254
Brandon Township,316
Clawson,202
Commerce Township,277
Farmington,229
Farmington Hills,262
Franklin,254
Hazel Park,192
Highland Township,313
Holly,283
Huntington Woods,202
Independence Township,339
Keego Harbor,284
Lake Angelus,300
Lake Orion,300
Gijón,3
Oostburg,1
Sas van Gent,2
Bathmen,10
Sneek,0
Haelen,28
Helden,33
Heythuysen,28
Hunsel,29
Maasbracht,25
Maasbree,27
Meijel,34
Swalmen,24
Valkenburg aan de Geul,73
Thorn,24
Didam,12
Dinxperlo,18
Gendringen,15
